verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis eurystole,Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis eurystole,False,"Engraulis eurystole (Swain & Meek, 1884)",99,species,gbif:2414003,Animalia,Chordata,,Clupeiformes,Engraulidae,Engraulis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Bregmacerotidae;Bregmaceros;Bregmaceros cantori,Eukaryota;Chordata;Actinopteri;Gadiformes;Bregmacerotidae;Bregmaceros;Bregmaceros cantori,True,"Bregmaceros cantori Milliken & Houde, 1984",100,species,gbif:2417321,Animalia,Chordata,,Gadiformes,Bregmacerotidae,Bregmaceros,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Bregmacerotidae;Bregmaceros;Bregmaceros cantori,Eukaryota;Chordata;Actinopteri;Gadiformes;Bregmacerotidae;Bregmaceros;Bregmaceros cantori,False,"Bregmaceros cantori Milliken & Houde, 1984",99,species,gbif:2417321,Animalia,Chordata,,Gadiformes,Bregmacerotidae,Bregmaceros,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,True,"Coelorinchus caribbaeus (Goode & Bean, 1885)",100,species,gbif:2416355,Animalia,Chordata,,Gadiformes,Macrouridae,Coelorinchus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,Eukaryota;Chordata;Actinopteri;Gadiformes;Macrouridae;Coelorinchus;Coelorinchus caribbaeus,False,"Coelorinchus caribbaeus (Goode & Bean, 1885)",99,species,gbif:2416355,Animalia,Chordata,,Gadiformes,Macrouridae,Coelorinchus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius,Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius,True,"Merluccius Rafinesque, 1810",97,genus,gbif:2415629,Animalia,Chordata,,Gadiformes,Merlucciidae,Merluccius,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius albidus,Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius albidus,True,"Merluccius albidus (Mitchill, 1818)",100,species,gbif:2415661,Animalia,Chordata,,Gadiformes,Merlucciidae,Merluccius,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius albidus,Eukaryota;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius albidus,False,"Merluccius albidus (Mitchill, 1818)",99,species,gbif:2415661,Animalia,Chordata,,Gadiformes,Merlucciidae,Merluccius,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Phycidae;Urophycis;Urophycis floridana,Eukaryota;Chordata;Actinopteri;Gadiformes;Phycidae;Urophycis;Urophycis floridana,True,"Urophycis floridana (Bean & Dresel, 1884)",100,species,gbif:2415726,Animalia,Chordata,,Gadiformes,Phycidae,Urophycis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gadiformes;Phycidae;Urophycis;Urophycis floridana,Eukaryota;Chordata;Actinopteri;Gadiformes;Phycidae;Urophycis;Urophycis floridana,False,"Urophycis floridana (Bean & Dresel, 1884)",99,species,gbif:2415726,Animalia,Chordata,,Gadiformes,Phycidae,Urophycis,GBIF_EXACT,GBIF
